,EMG,EDA
292,128,146
293,128,146
294,128,146
295,128,146
296,128,146
297,128,146
298,128,146
299,127,146
300,127,146
301,128,146
302,127,146
303,128,146
304,127,146
305,128,146
306,127,146
307,128,146
308,128,146
309,128,146
310,129,146
311,128,146
312,128,146
313,127,146
314,127,146
315,129,146
316,127,146
317,127,146
318,128,146
319,128,146
320,127,146
321,129,147
322,129,146
323,128,147
324,126,146
325,127,146
326,128,146
327,128,146
328,129,147
329,128,147
330,128,147
331,128,147
332,128,147
333,127,147
334,128,147
335,128,146
336,128,147
337,128,146
338,128,146
339,128,146
340,128,146
341,127,146
342,127,146
343,126,146
344,130,146
345,129,146
346,129,146
347,129,146
348,128,146
349,127,146
350,127,146
351,128,146
352,128,146
353,127,146
354,127,146
355,129,146
356,128,146
357,127,146
358,127,146
359,128,146
360,127,146
361,129,146
362,128,146
363,128,146
364,127,146
365,127,146
366,128,146
367,127,146
368,127,146
369,127,146
370,127,146
371,128,146
372,128,146
373,127,146
374,128,146
375,127,146
376,127,146
377,127,146
378,128,146
379,128,146
380,128,146
381,129,146
382,130,146
383,128,146
384,128,146
385,128,146
386,128,146
387,128,146
388,128,146
389,127,146
390,128,146
391,127,146
392,128,146
393,129,146
394,127,146
395,127,146
396,127,146
397,129,146
398,129,146
399,128,146
400,127,146
401,126,146
402,127,146
403,128,146
404,127,146
405,127,146
406,128,146
407,127,146
408,128,146
409,129,146
410,128,146
411,128,146
412,128,146
413,126,146
414,128,146
415,128,146
416,128,146
417,128,146
418,128,146
419,128,146
420,128,146
421,128,146
422,129,146
423,129,146
424,128,146
425,128,146
426,128,146
427,128,146
428,129,146
429,127,146
430,128,146
431,128,146
432,127,146
433,128,146
434,129,146
435,128,146
436,127,146
437,129,146
438,128,146
439,128,146
440,126,146
441,128,146
442,128,146
443,127,146
444,128,146
445,127,146
446,128,146
447,128,146
448,128,146
449,128,146
450,128,146
451,127,146
452,128,146
453,127,146
454,128,146
455,127,146
456,127,146
457,128,146
458,127,146
459,128,146
460,128,146
461,128,146
462,127,146
463,128,146
464,127,146
465,127,146
466,128,146
467,128,146
468,128,146
469,128,146
470,127,146
471,127,146
472,128,146
473,128,146
474,127,146
475,127,146
476,127,146
477,128,146
478,127,146
479,128,146
480,125,146
481,128,146
482,129,146
483,127,146
484,128,146
485,128,146
486,128,146
487,128,146
488,127,146
489,128,145
490,128,145
491,127,146
492,128,146
493,128,145
494,128,146
495,128,146
496,127,146
497,127,146
498,129,146
499,128,145
500,127,145
501,129,145
502,128,145
503,128,145
504,128,145
505,128,145
506,128,145
507,127,145
508,127,145
509,130,145
510,127,145
511,128,145
512,128,145
513,127,145
514,128,145
515,128,145
516,128,145
517,128,145
518,127,146
519,127,145
520,128,145
521,128,145
522,129,145
523,128,145
524,127,145
525,128,145
526,127,145
527,127,145
528,128,145
529,128,145
530,127,145
531,127,145
532,128,145
533,127,145
534,128,145
